Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,3771,0,360.0,405.7265948285439,52.58460699405987,1365.1905209990218,30975.988332007426,46.40330595705028,0.0,360,460,530,600,760,880,1000,1100,1300,1400,1400
,Aggregated,3771,0,360.0,405.7265948285439,52.58460699405987,1365.1905209990218,30975.988332007426,46.40330595705028,0.0,360,460,530,600,760,880,1000,1100,1300,1400,1400
