Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,910180,130,52,63.712385130099264,8.968788999482058,3185.0678689952474,31023.57314157639,252.8711163310579,0.03611730110861316,52,56,59,62,75,130,250,390,910,2000,3200
,Aggregated,910180,130,52,63.712385130099264,8.968788999482058,3185.0678689952474,31023.57314157639,252.8711163310579,0.03611730110861316,52,56,59,62,75,130,250,390,910,2000,3200
